Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Bitcoin Syndicate,https://www.crunchbase.com/organization/bitcoin-syndicate,Angel Group,,,"Vienna, Wien, Austria",,Bitcoin Syndicat they focuses exclusively on Bitcoin.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-07-27,day,https://angel.co/bitcoin-syndicate,https://www.linkedin.com/company/bitcoin-syndicate,,,
BizFarm Villach,https://www.crunchbase.com/organization/bizfarm-villach,Co-Working Space,,,"Villach, Karnten, Austria",,"BizFarm is Coworking countryside-style provides a creative working-environment through an active community, green fields and a lot of space.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.bizfarm.at/bizfarm-villach,,,,
Laudonito e.U.,https://www.crunchbase.com/organization/laudonito-e-u,Co-Working Space,,,"Vienna, Wien, Austria",,An affordable and stylish coworking space. They combine a cocktail bar with a modern workspace.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://space.wien,,,,
Akostart,https://www.crunchbase.com/organization/akostart,Co-Working Space,,,"Linz, Oberosterreich, Austria",,Akostart oö is Austria's first inter-university network for academic startups and spinoffs.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.akostart.at/,https://www.linkedin.com/company/akostart,,,
AICO Angel Investment Club,https://www.crunchbase.com/organization/aico-angel-investment-club,Angel Group,,,"Linz, Oberosterreich, Austria",,Angel Investment Club Oberoesterreich,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.aico-net.at,,,,
CO SPACE,https://www.crunchbase.com/organization/co-space,Co-Working Space,,,"Vienna, Wien, Austria",,"Coworking + community space offering shared office, including all infrastructures.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.co-space.net/,https://www.linkedin.com/company/co-space-vienna,,,
Io2HUB,https://www.crunchbase.com/organization/io2hub,Accelerator,,,"Wiener Neustadt, Niederosterreich, Austria","Early Stage Venture, Seed",Incubator & Accelerator program for IoT/Smart products/Hardware startups - Vienna - Shenzhen - Hong Kong - Silicon Valley,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,day,http://www.io2hub.com/,,,,
Diewerkstaette,https://www.crunchbase.com/organization/diewerkstaette,Co-Working Space,,,"Vienna, Wien, Austria",,Diewerkstaette,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.diewerkstaette.at/,,,,
7Brunnen,https://www.crunchbase.com/organization/7brunnen,Incubator,,,"Vienna, Wien, Austria",,7Brunnen is an incubator for idea-stage and early-stage startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://7brunnen.space/,,,,
Co-Quartier Villach,https://www.crunchbase.com/organization/co-quartier-villach,Co-Working Space,,,"Villach, Karnten, Austria",,"CO-quarter is a new community, bringing together people who have pleasure in it to create something new!","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.co-quartier.at/,,,,
Zur goldenen Forelle,https://www.crunchbase.com/organization/zur-goldenen-forelle-coworking-wien-14,Co-Working Space,,,"Vienna, Wien, Austria",,Zur goldenen Forelle is a coworking space in the 14th district.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://zurgoldenenforelle.at/,,,,
