Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - uberall,https://www.crunchbase.com/funding_round/uberall-series-b--76c6df77,uberall,https://www.crunchbase.com/organization/uberall,Series B,"Berlin, Berlin, Germany, Europe",25000000,USD,25000000,2018-09-06,Early Stage Venture,,,,Yes,"Uberall powers sales through location data, using the innovative location marketing cloud.","Information Technology, Location Based Services, Marketing",,http://uberall.com,$1M to $10M,170800000,USD,170800000,Private Equity,8,HPE Growth,"HPE Growth, Project A Ventures, United Internet Ventures",3,3,"509,569"
Venture Round - Mitte,https://www.crunchbase.com/funding_round/mitte-series-unknown--cb815a1c,Mitte,https://www.crunchbase.com/organization/mitte,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-09-01,,,,,Yes,"Mitte has developed a user-friendly, sustainable drinking water system, using advanced technology to purify and enhance the taste of water.","Environmental Engineering, Hardware, Internet of Things, Smart Home, Water, Water Purification",,http://mitte.co/,$1M to $10M,15151053,USD,15151053,,6,,Bitburger Ventures,1,,"267,827"
Series C - Frontier Car Group,https://www.crunchbase.com/funding_round/frontier-cars-group-series-c--9ed80bfc,Frontier Car Group,https://www.crunchbase.com/organization/frontier-cars-group,Series C,"Berlin, Berlin, Germany, Europe",89000000,USD,89000000,2018-05-24,Late Stage Venture,,,,Yes,"Frontier Car Group develops, launches, and operates used-automotive marketplaces within emerging market economies.","Automotive, Internet, Marketplace, Transportation",,http://www.frontiercargroup.com/,$1M to $10M,569000000,USD,569000000,Late Stage Venture,7,Prosus & Naspers,"OLX Group, Prosus & Naspers",2,,"525,875"
Pre Seed Round - Smoothr,https://www.crunchbase.com/funding_round/smoothr-pre-seed--f2477b51,Smoothr,https://www.crunchbase.com/organization/smoothr,Pre-Seed,"Berlin, Berlin, Germany, Europe",380000,EUR,430790,2018-11-10,Seed,,,,Yes,"Smoothr offers digital ordering solutions for QSR. This includes Self-Ordering Terminals, branded Apps and Loyalty Systems.","Apps, Hospitality, Software",,https://smoothr.de/,,1630790,USD,1630790,Seed,2,,,,,"269,265"
Series D - Contentful,https://www.crunchbase.com/funding_round/contentful-series-d--04f8dad9,Contentful,https://www.crunchbase.com/organization/contentful,Series D,"Berlin, Berlin, Germany, Europe",33500000,USD,33500000,2018-12-05,Late Stage Venture,,,,Yes,Contentful offers a headless content management system that helps organizations deliver content across channels.,"Cloud Computing, CMS, Content, Developer Tools, Publishing, SaaS, Software",,https://www.contentful.com,$50M to $100M,349600000,USD,349600000,Late Stage Venture,9,Sapphire Ventures,"Balderton Capital, Benchmark, General Catalyst, Hercules Capital, OMERS Ventures, Salesforce Ventures, Sapphire Ventures",7,5,"270,566"
Series A - Simplifa,https://www.crunchbase.com/funding_round/simplifa-series-a--421f8585,Simplifa,https://www.crunchbase.com/organization/simplifa,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-09-10,Early Stage Venture,,,,Yes,The PropTech startup Simplifa offers real estate owners an all-round service in the area of elevator management,"Property Management, PropTech",,https://www.simplifa.de/,$1B to $10B,,,,Early Stage Venture,2,,BitStone Capital,1,,"270,849"
Seed Round - Maphi,https://www.crunchbase.com/funding_round/maphi-seed--63612ecb,Maphi,https://www.crunchbase.com/organization/maphi,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Maphi offers a self-taught and frustration-free learning experience in mathematics.,Language Learning,,https://maphi.app/,,,,,Seed,1,,VentureVilla Accelerator,1,,"272,329"
Pre Seed Round - Formo,https://www.crunchbase.com/funding_round/formo-bio-pre-seed--3c5e610e,Formo,https://www.crunchbase.com/organization/formo-bio,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-05-14,Seed,,,,Yes,Formo is a cell-ag company that develops animal-free dairy products using nature-identical milk proteins from precision fermentation.,"Biotechnology, Food and Beverage, Life Science",,https://formo.bio,$1M to $10M,115308272,USD,115308272,Early Stage Venture,7,,Magnetic Capital,1,,"273,346"
Seed Round - Enote,https://www.crunchbase.com/funding_round/enote-seed--d85bc6cc,Enote,https://www.crunchbase.com/organization/enote,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4630841,2018-10-01,Seed,6000000,EUR,6946261,Yes,"Enote is an innovative AI-powered digital sheet music app, described by The Guardian as “a gamechanger for musicians"".","Artificial Intelligence (AI), Mobile Apps, Music",,https://enote.com/,,20000000,EUR,22168592,Seed,5,Rudolf Fuchs Kapitalanlagegesellschaft,Rudolf Fuchs Kapitalanlagegesellschaft,1,,"275,314"
Pre Seed Round - ecoworks,https://www.crunchbase.com/funding_round/ecoworks-pre-seed--f14f89d0,ecoworks,https://www.crunchbase.com/organization/ecoworks,Pre-Seed,"Berlin, Berlin, Germany, Europe",750000,EUR,855187,2018-11-01,Seed,,,,Yes,Ecoworks specializes in climate-neutral renovations and modernizations for apartment buildings.,"Construction, Industrial Engineering",,https://www.ecoworks.tech,$1B to $10B,78912880,EUR,86875785,Early Stage Venture,7,,,,,"279,138"
Non Equity Assistance - Crowdheroes,https://www.crunchbase.com/funding_round/crowdheroes-non-equity-assistance--408481fa,Crowdheroes,https://www.crunchbase.com/organization/crowdheroes,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,,,,,No,Crowdheroes digitalizes the German insurance industry and thrives to become the leading provider for insurance offerings on social networks.,"Financial Services, Insurance, Internet, Social Media",,https://crowdheroes.de/,,,,,,1,,SpinLab - The HHL Accelerator,1,,"280,749"
Venture Round - Homebell,https://www.crunchbase.com/funding_round/homebell-series-unknown--f6fbb2a8,Homebell,https://www.crunchbase.com/organization/homebell,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",11000000,USD,11000000,2018-01-26,,,,,Yes,Homebell is your partner for all home improvement projects.,"Home Improvement, Home Services, Professional Services",,https://homebell.de,$10M to $50M,11000000,USD,11000000,M&A,3,SevenVentures,"AXA Group, Global Founders Capital, Helvetia Venture Fund, Index Ventures, Kompass Digital, Lakestar, SevenVentures",7,,"281,624"
Post-IPO Equity - German Startups Group,https://www.crunchbase.com/funding_round/german-startups-group-post-ipo-equity--6db1ad53,German Startups Group,https://www.crunchbase.com/organization/german-startups-group,Post-IPO Equity,"Berlin, Berlin, Germany, Europe",,,,2018-02-22,,,,,Yes,German Startups Group is a private investor of venture capital in Germany.,"Finance, Financial Services, Venture Capital",,https://www.german-startups.com/for-shareholders/about-us/,,,,,,1,Obotritia Capital,Obotritia Capital,1,,"283,416"
Pre Seed Round - Hotelhero,https://www.crunchbase.com/funding_round/hotelhero-u-g-pre-seed--9a59338f,Hotelhero,https://www.crunchbase.com/organization/hotelhero-u-g,Pre-Seed,"Berlin, Berlin, Germany, Europe",120000,EUR,137930,2018-10-08,Seed,,,,Yes,Hotelhero helps hotels find the right software for their businesses.,"Hospitality, Hotel, Information Technology, Software",,https://www.hotelhero.tech,Less than $1M,120000,EUR,137930,M&A,1,,"LeadX Capital Partners, METRO Xcel, Techstars",3,1,"590,055"
Pre Seed Round - QVSTA,https://www.crunchbase.com/funding_round/mmooddeell-pre-seed--f291f9e8,QVSTA,https://www.crunchbase.com/organization/mmooddeell,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-25,Seed,,,,Yes,"QVSTA is an expanding online platform for talents, agents and content creators in the creative industry","Advertising, Fashion, Marketing, Retail",,http://www.qvsta.com,Less than $1M,,,,Seed,1,,,,,"590,480"
Venture Round - oscoin,https://www.crunchbase.com/funding_round/oscoin-series-unknown--af956a55,oscoin,https://www.crunchbase.com/organization/oscoin,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-02-01,,,,,Yes,Oscoin is building a decentralized network between open source software and developers.,"Information Technology, Software, Software Engineering",,http://oscoin.io/,,,,,,1,BlueYard Capital,"BlueYard Capital, Notation Capital",2,,"287,382"
Convertible Note - Teraki,https://www.crunchbase.com/funding_round/teraki-convertible-note--579d5698,Teraki,https://www.crunchbase.com/organization/teraki,Convertible Note,"Berlin, Berlin, Germany, Europe",1250000,EUR,1539161,2018-04-01,,,,,No,"Teraki is a driver for scaling of insurance, maintenance and autonomous driving applications by enabling access to more qualitative data.","Apps, Autonomous Vehicles, Information Technology",,http://www.teraki.com/,$1M to $10M,16096421,USD,16096421,Early Stage Venture,8,,"GPS Ventures, Paladin Capital Group",2,,"288,229"
Corporate Round - Lamudi,https://www.crunchbase.com/funding_round/lamudi-2-corporate-round--a249a562,Lamudi,https://www.crunchbase.com/organization/lamudi-2,Corporate Round,"Berlin, Berlin, Germany, Europe",,,,2018-11-21,,,,,Yes,Lamudi is a global online real estate platform serving emerging market.,"Commercial Real Estate, E-Commerce, Internet, Real Estate",,https://www.lamudi.com,$1M to $10M,56400000,USD,56400000,M&A,4,"Axel Springer, Ringier","Axel Springer, Ringier",2,,"609,649"
Venture Round - Zinsbaustein,https://www.crunchbase.com/funding_round/zinsbaustein-series-unknown--06351e12,Zinsbaustein,https://www.crunchbase.com/organization/zinsbaustein,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-09-09,,,,,Yes,Platform for small investors to participate in the German real-estate market.,Real Estate,,https://www.zinsbaustein.de,Less than $1M,,,,,3,Sontowski & Partner Group,Sontowski & Partner Group,1,1,"291,520"
Seed Round - Herdius,https://www.crunchbase.com/funding_round/herdius-seed--8ba322a4,Herdius,https://www.crunchbase.com/organization/herdius,Seed,"Berlin, Berlin, Germany, Europe",201000,EUR,246976,2018-04-04,Seed,,,,Yes,Herdius intends to build a highly performant decentralized financial platform.,"Blockchain, Financial Services, FinTech, Infrastructure",,https://www.herdius.com,Less than $1M,201000,EUR,246976,Seed,1,KR1,KR1,1,,"616,943"
Venture Round - Factory Berlin,https://www.crunchbase.com/funding_round/factory-berlin-series-unknown--ec494695,Factory Berlin,https://www.crunchbase.com/organization/factory-berlin,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-11-12,,,,,Yes,The largest startup community in Europe.,"Communities, Coworking, Real Estate",,http://factoryberlin.com/,$10M to $50M,1000000,EUR,1074043,,2,RAG-Stiftung,RAG-Stiftung,1,,"638,161"
Grant - AiSight,https://www.crunchbase.com/funding_round/aisight-grant--debbf726,AiSight,https://www.crunchbase.com/organization/aisight,Grant,"Berlin, Berlin, Germany, Europe",75000,USD,75000,2018-07-01,,,,,No,Automating machine diagnostics for manufacturing,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Manufacturing, SaaS, Sensor, Software",,https://aisight.de,$1M to $10M,3461000,USD,3461000,M&A,4,European Social Fund (ESF),European Social Fund (ESF),1,,"640,576"
Seed Round - eClear,https://www.crunchbase.com/funding_round/eclear-seed--e17a0127,eClear,https://www.crunchbase.com/organization/eclear,Seed,"Berlin, Berlin, Germany, Europe",5000000,EUR,5660501,2018-12-01,Seed,50000000,EUR,56605012,Yes,"eClear uses AI for VAT and customs compliance, providing seamless cross-border solutions.","Accounting, Artificial Intelligence (AI), Financial Services, Payments, Tax Preparation",,https://eclear.com,$1M to $10M,43000000,EUR,46299748,Early Stage Venture,7,,,,,"643,112"
Seed Round - BOOST Thyroid,https://www.crunchbase.com/funding_round/boost-by-vlm-health-seed--a3ef744a,BOOST Thyroid,https://www.crunchbase.com/organization/boost-by-vlm-health,Seed,"Berlin, Berlin, Germany, Europe",30000,EUR,37227,2018-03-27,Seed,,,,Yes,BOOST Thyroid is the first digital and the only science solution helping people with thyroid disease prevent long-term health complications.,"Biotechnology, Health Care, Health Diagnostics, mHealth, Personal Health",,http://www.boostthyroid.com,,690405,USD,690405,,9,Fast Track Malmo,Fast Track Malmo,1,,"644,009"
Series B - emmy,https://www.crunchbase.com/funding_round/emmy-sharing-series-b--359f2d8f,emmy,https://www.crunchbase.com/organization/emmy-sharing,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-05-01,Early Stage Venture,,,,Yes,emmy offers free floating electric moped sharing.,"Apps, Last Mile Transportation, Transportation, Travel",,http://www.emmy-sharing.de/,$1M to $10M,25000,USD,25000,M&A,5,BonVenture,BonVenture,1,,"645,949"
Pre Seed Round - Gardoré,https://www.crunchbase.com/funding_round/gardoré-pre-seed--92336698,Gardoré,https://www.crunchbase.com/organization/gardoré,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-12-23,Seed,,,,Yes,Marketplace,"E-Commerce, Internet, Marketplace",,https://gardore.com/,,,,,Seed,1,,"Antler, BLN Capital, Janosch Kühn",3,,"647,573"
Funding Round - HelloBody,https://www.crunchbase.com/funding_round/hellobody-undisclosed--685c5db6,HelloBody,https://www.crunchbase.com/organization/hellobody,Funding Round,"Berlin, Berlin, Germany, Europe",,,,2018-01-15,,,,,Yes,"At HelloBody, they’re redefining the rules of the cosmetics industry.","Fitness, Health Care, Wellness",,https://www.hellobody.de/,Less than $1M,,,,M&A,1,,Capital D,1,,"651,113"
Series A - Wellnow,https://www.crunchbase.com/funding_round/wellnow-series-a--486b3a82,Wellnow,https://www.crunchbase.com/organization/wellnow,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-04-26,Early Stage Venture,,,,Yes,Wellnow brings relaxation and health to your office.,"Fitness, Health Care, Wellness",,http://www.wellnow.de/,$1M to $10M,1000000,EUR,1119069,M&A,4,TEV Ventures,TEV Ventures,1,,"652,236"
Pre Seed Round - Shotcaller Media,https://www.crunchbase.com/funding_round/the-shotcaller-pre-seed--ce0691c1,Shotcaller Media,https://www.crunchbase.com/organization/the-shotcaller,Pre-Seed,"Berlin, Berlin, Germany, Europe",50000,EUR,61173,2018-01-18,Seed,,,,Yes,"The Shotcaller is an online publication that covers trends and news in esports, gaming, and culture.","Content, eSports, Marketing, News, Publishing",,https://shotcaller.media/,,50000,EUR,61173,Seed,1,,Next Media Accelerator,1,,"652,872"
Venture Round - Momox,https://www.crunchbase.com/funding_round/momox-series-unknown--03b70c85,Momox,https://www.crunchbase.com/organization/momox,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-09-05,,,,,Yes,"Momox trades second-hand books, CDs, DVDs, computer and console games.","Commercial, Delivery, E-Commerce, E-Commerce Platforms, Internet, Online Games, Retail",,https://momox.biz/en/,$100M to $500M,,,,M&A,3,Verdane,Verdane,1,1,"314,882"
Venture Round - AUTO1 Fintech,https://www.crunchbase.com/funding_round/auto1-com-series-unknown--6d751617,AUTO1 Fintech,https://www.crunchbase.com/organization/auto1-com,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-06-06,,,,,Yes,AUTO1 Fintech is a platform offering instant financing and insurance products to automobile dealerships buying and selling used vehicles.,"Auto Insurance, Automotive, E-Commerce, Financial Services, FinTech, Insurance, Retail Technology",,http://www.auto1-fintech.com,Less than $1M,,,,,1,,"Allianz X, Deutsche Bank, Polar Light Ventures",3,,"657,326"
Seed Round - Moonfare,https://www.crunchbase.com/funding_round/moonfare-seed--d43109e2,Moonfare,https://www.crunchbase.com/organization/moonfare,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-07-01,Seed,,,,Yes,"Moonfare is a digital platform that provides HNWI, family offices, banks and their advisors access to top-tier private markets investments.","Asset Management, Finance, Financial Services, FinTech, Wealth Management",,http://www.moonfare.com,Less than $1M,175000000,USD,175000000,Late Stage Venture,8,,Loric Ventures,1,,"657,813"
Seed Round - Remind.me,https://www.crunchbase.com/funding_round/remind-me-seed--f0357230,Remind.me,https://www.crunchbase.com/organization/remind-me,Seed,"Berlin, Berlin, Germany, Europe",1900000,EUR,2270625,2018-05-02,Seed,,,,Yes,Remind.me provides reminder service around notice periods.,"E-Commerce, Information Technology, Internet, Lifestyle",,https://www.remind.me/,$1M to $10M,6900000,EUR,8057744,Early Stage Venture,4,,,,,"657,949"
Venture Round - Opinary,https://www.crunchbase.com/funding_round/opinary-series-unknown--540fbd7c,Opinary,https://www.crunchbase.com/organization/opinary,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",3000000,EUR,3717818,2018-01-24,,,,,Yes,Opinary is a startup that established a new way for users to share their opinion in online content.,"Advertising, Information Services, Information Technology, Marketing",,http://www.opinary.com/,$10M to $50M,4000000,EUR,4856806,M&A,2,Project A Ventures,"Global Founders Capital, Motu Ventures, Project A Ventures, Rolf Schromgens",4,2,"659,632"
Grant - Belyntic,https://www.crunchbase.com/funding_round/belyntic-grant--30f744c9,Belyntic,https://www.crunchbase.com/organization/belyntic,Grant,"Berlin, Berlin, Germany, Europe",220000,EUR,263806,2018-05-01,,,,,No,Novel paradigm-shifting vaccines with emphasis on cellular immunity,"Biotechnology, Health Care, Life Science, Pharmaceutical",,https://belyntic.com/,$1M to $10M,3320000,EUR,3788227,M&A,5,EXIST,EXIST,1,,"341,074"
Angel Round - Myos,https://www.crunchbase.com/funding_round/myosfinance-angel--12114213,Myos,https://www.crunchbase.com/organization/myosfinance,Angel,"Berlin, Berlin, Germany, Europe",800000,EUR,984600,2018-03-09,Seed,,,,Yes,"Rethinking working capital | Myos helps merchants of all kind grow to scale, fully digital, flexible and without personal guarantees","B2B, Big Data, E-Commerce, FinTech, Lending, Machine Learning, Marketplace",,https://myos.com,Less than $1M,38085000,EUR,44378051,Early Stage Venture,9,,"Mountain Partners, Polar Light Ventures",2,,"342,161"
Venture Round - Earlybird Venture Capital,https://www.crunchbase.com/funding_round/earlybird-venture-capital-series-unknown--d1237884,Earlybird Venture Capital,https://www.crunchbase.com/organization/earlybird-venture-capital,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",18000000,EUR,20988757,2018-07-04,,,,,Yes,Earlybird is a venture capital investor focused on European technology innovators.,"Financial Services, Incubators, Venture Capital",,http://earlybird.com/,,18000000,EUR,20988757,,2,Molten Ventures,Molten Ventures,1,,"343,029"
Secondary Market - Getsurance,https://www.crunchbase.com/funding_round/getsurance-secondary-market--d8beb6d8,Getsurance,https://www.crunchbase.com/organization/getsurance,Secondary Market,"Berlin, Berlin, Germany, Europe",,,,2018-05-02,,,,,No,Getsurance is an online life insurance company.,"Information Technology, Insurance, InsurTech, Internet",,https://getsurance.de,$1M to $10M,2500000,EUR,2738301,M&A,3,,RGAx,1,,"343,063"
Pre Seed Round - hundred,https://www.crunchbase.com/funding_round/made-for-pre-seed--1ffea5b1,hundred,https://www.crunchbase.com/organization/made-for,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-02-02,Seed,,,,Yes,Hundred is a direct-to-consumer digital health company providing personalized high-quality vitamins plus Nutrition Expert Consultation.,"Consumer Goods, Fitness, Health Care, Nutrition, Wellness",,http://www.joinhundred.com,$1M to $10M,8000000,USD,8000000,Seed,2,,,,,"343,454"
Grant - ONO,https://www.crunchbase.com/funding_round/tretbox-grant--b341acf4,ONO,https://www.crunchbase.com/organization/tretbox,Grant,"Berlin, Berlin, Germany, Europe",50000,CHF,53208,2018-02-10,,,,,No,Trailblazing emission-free transportation of goods within cities.,"Automotive, Last Mile Transportation, Logistics, Transportation",,https://onomotion.com/,$1M to $10M,26527119,USD,26527119,Early Stage Venture,11,,,,,"662,463"
Non Equity Assistance - AIPARK,https://www.crunchbase.com/funding_round/aipark-non-equity-assistance--b8d01647,AIPARK,https://www.crunchbase.com/organization/aipark,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2018-03-30,,,,,No,AIPARK provides live parking maps,,,https://aipark.io/,Less than $1M,1100000,EUR,1255488,Seed,3,,Startup Sesame,1,,"662,480"
Series D - Omio,https://www.crunchbase.com/funding_round/omio-series-d--0d6cd11a,Omio,https://www.crunchbase.com/organization/omio,Series D,"Berlin, Berlin, Germany, Europe",150000000,USD,150000000,2018-10-23,Late Stage Venture,850000000,USD,850000000,Yes,"Omio offers a multi-mode search tool that compares and combines rail, air, bus, and car for destinations.","Internet, Search Engine, Software, Travel, Travel Accommodations",,https://www.omio.com,$1M to $10M,596000000,USD,596000000,Late Stage Venture,11,"Kinnevik, Temasek Holdings","3L Capital, Hillhouse Investment, Justin Mateen, Kinnevik, Temasek Holdings",5,1,"353,161"
Venture Round - Nuri,https://www.crunchbase.com/funding_round/nuribanking-series-unknown--6a725445,Nuri,https://www.crunchbase.com/organization/nuribanking,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",3100000,EUR,3635988,2018-07-21,,,,,Yes,Nuri empowers people to manage and grow their wealth through innovative technologies.,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",,https://nuri.com/,$10M to $50M,42296429,EUR,49174004,,10,Earlybird Venture Capital,"coparion, Earlybird Venture Capital",2,,"353,599"
Private Equity Round - HENDT,https://www.crunchbase.com/funding_round/hendt-private-equity--439debfc,HENDT,https://www.crunchbase.com/organization/hendt,Private Equity,"Berlin, Berlin, Germany, Europe",1000,EUR,1201,2018-01-01,Private Equity,,,,Yes,"HENDT is an E-Commerce company that has served more than 40,000 customers in the past two years.","E-Commerce, Software",,https://hendt.de,$1M to $10M,1000,EUR,1201,Private Equity,1,,,,,"357,081"
Series A - Mymoria,https://www.crunchbase.com/funding_round/mymoria-gmbh-series-a--e91d2cbf,Mymoria,https://www.crunchbase.com/organization/mymoria-gmbh,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-03-29,Early Stage Venture,,,,Yes,MYMORIA offers an one-stop-online-shop for full configuration and complete commissioning of funerals.,"Funerals, Location Based Services, Online Portals",,https://www.mymoria.de/de,$1M to $10M,15000000,EUR,17787749,Late Stage Venture,4,"Egora Holding, HOWZAT Partners","b2venture, DvH Ventures, Egora Holding, HOWZAT Partners",4,,"663,915"
Seed Round - Expertlead,https://www.crunchbase.com/funding_round/expertlead-seed--a8ab3a85,Expertlead,https://www.crunchbase.com/organization/expertlead,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,"Expertlead helps companies find, assess, and hire ‍qualified tech experts.","Employment, Freelance, Human Resources, Information Technology, Lead Management, Recruiting",,https://www.expertlead.com,$1M to $10M,16500000,EUR,19238369,M&A,3,,"10x Value Partners, Rocket Internet",2,,"358,783"
Pre Seed Round - AirGateway,https://www.crunchbase.com/funding_round/airgateway-pre-seed--67e0ffb6,AirGateway,https://www.crunchbase.com/organization/airgateway,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-11-05,Seed,,,,Yes,Enabling the NDC age for the airline distribution industry,"Air Transportation, Data Integration, Information Technology, Travel",,http://airgateway.com,$1B to $10B,1000000,EUR,1135530,Seed,2,HTGF | High-Tech Gruenderfonds,HTGF | High-Tech Gruenderfonds,1,,"666,972"
Seed Round - CodersFirst,https://www.crunchbase.com/funding_round/codersfirst-seed--347efbac,CodersFirst,https://www.crunchbase.com/organization/codersfirst,Seed,"Berlin, Berlin, Germany, Europe",125000,EUR,154019,2018-04-09,Seed,,,,Yes,We find and hire software engineers based on their engineering strengths and not credentials.,"Big Data, Recruiting",,http://www.codersfirst.com,,125000,EUR,154019,Seed,1,,,,,"359,471"
Grant - Covert Science,https://www.crunchbase.com/funding_round/covert-science-grant--81b0f6ad,Covert Science,https://www.crunchbase.com/organization/covert-science,Grant,"Berlin, Berlin, Germany, Europe",14700,EUR,18145,2018-04-19,,,,,No,"Covert Science develops flat, flexible, and waterproof AC-DC power supply.","Electrical Distribution, Electronics",,http://covert.science,Less than $1M,17700,EUR,21874,,2,,Investitionsbank Berlin,1,,"359,855"
Seed Round - Trueken,https://www.crunchbase.com/funding_round/trueken-seed--ec791203,Trueken,https://www.crunchbase.com/organization/trueken,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-26,Seed,,,,Yes,Trueken provides an automated solution for decentralized energy projects in residential buildings in cities.,"Energy, Renewable Energy",,https://trueken.de,,,,,Seed,1,Agile Accelerator,Agile Accelerator,1,,"360,366"
Venture Round - Patronus.io,https://www.crunchbase.com/funding_round/patronus-io-series-unknown--b00df987,Patronus.io,https://www.crunchbase.com/organization/patronus-io,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-05-09,,,,,Yes,patronus.io is reinventing web security for businesses with their automated all-round software solution.,"Cyber Security, Information Technology, Security, Software",,https://www.om-optimiser.com,$1M to $10M,,,,,2,Future Energy Ventures,Future Energy Ventures,1,,"361,303"
Seed Round - AssistMe,https://www.crunchbase.com/funding_round/assistme-seed--c51fed20,AssistMe,https://www.crunchbase.com/organization/assistme,Seed,"Berlin, Berlin, Germany, Europe",600000,EUR,743483,2018-01-25,Seed,,,,Yes,We are digital pioneers for scientifically based and practice-proven smart assistance solutions to support the care.,"Elder Care, Health Care, Home Health Care, Internet of Things, Medical Device, Outpatient Care, Personal Health, SaaS",,https://www.assistme.io/,$1M to $10M,5050000,EUR,5681542,Early Stage Venture,5,,,,,"361,428"
Series F - AUTO1 Group,https://www.crunchbase.com/funding_round/auto1-group-series-f--ad497df3,AUTO1 Group,https://www.crunchbase.com/organization/auto1-group,Series F,"Berlin, Berlin, Germany, Europe",460000000,EUR,564272475,2018-01-15,Late Stage Venture,2440000000,EUR,2993097476,Yes,AUTO1 Group is an online automotive platform that aims to connect buyers and sellers of cars throughout Europe.,"Automotive, Internet, Marketplace",,http://www.auto1-group.com,$1B to $10B,1387053390,USD,1387053390,IPO,12,SoftBank Vision Fund,"DN Capital, SoftBank Vision Fund",2,3,"668,572"
Debt Financing - Ib Vogt,https://www.crunchbase.com/funding_round/ib-vogt-debt-financing--4e8a6cfb,Ib Vogt,https://www.crunchbase.com/organization/ib-vogt,Debt Financing,"Berlin, Berlin, Germany, Europe",41000000,EUR,47826016,2018-05-30,,,,,No,Ib Vogt is a manufacturer of turnkey PV plants.,"Energy, Manufacturing, Power Grid, Solar",,https://www.ibvogt.com/,$10M to $50M,646000000,EUR,731336027,M&A,4,,,,,"363,449"
Initial Coin Offering - Hicky,https://www.crunchbase.com/funding_round/hicky-initial-coin-offering--d2fa5a2d,Hicky,https://www.crunchbase.com/organization/hicky,Initial Coin Offering,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2018-03-20,,,,,Yes,Hicky reinvents the way you meet people online ,"Apps, Dating",,https://hicky.io/,Less than $1M,2000000,USD,2000000,,1,,JaMes Sowers,1,,"364,065"
Seed Round - Justsnap,https://www.crunchbase.com/funding_round/justsnap-seed--da1d63bd,Justsnap,https://www.crunchbase.com/organization/justsnap,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Justsnap is cloud-based promotion campaign management tool for businesses.,"Advertising, Data Mining, Digital Marketing, Information Technology, Management Consulting, Marketing Automation, Predictive Analytics, Retail, Retail Technology",,http://www.justsnap.de,$1M to $10M,120000,EUR,134373,Seed,2,,LeadX Capital Partners,1,,"364,101"
Seed Round - vetevo,https://www.crunchbase.com/funding_round/vetevo-seed--1927a345,vetevo,https://www.crunchbase.com/organization/vetevo,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-08-23,Seed,,,,Yes,vetevo is the go-to-solution for everyday pet health. It builds integrated healthcare journeys along the lifecycle of next gen. pet parents.,"B2C, Consumer, E-Commerce, Health Care, Internet, Medical, Mobile, Personal Health, Veterinary, Wellness",,https://vetevo.com/,$1B to $10B,4000000,EUR,4449002,Seed,3,IBB Ventures,IBB Ventures,1,1,"365,614"
